Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_2320,,hypothetical protein,171,45,475,9,26.47058824,16.66666667,0.072,1.18E-16,1.54E-12,1.10E-13,5,3,3,1,1
group_2197,,"[gene=aftc] [locus_tag=BQ2027_MB2692] [db_xref=GOA:A0A1R3Y1U8,InterPro:IPR018584,UniProtKB/TrEMBL:A0A1R3Y1U8][protein=possible arabinofuranosyltransferase aftc] [protein_id=SIU01310.1] [location=2950182..2951483][gbkey=CDS]",519,14,127,40,80.34055728,74.07407407,11.67604049,4.19E-16,5.49E-12,3.66E-13,22,18,6,0.00434351,0.05247879
group_761,,"[gene=pknH2] [locus_tag=BQ2027_MB1297CB] [db_xref=GOA:A0A1R3XXU5,InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR017441,UniProtKB/TrEMBL:A0A1R3XXU5][protein_id=SIT99900.1] [location=complement(1416665..1418431)][gbkey=CDS]",468,9,178,45,72.44582043,83.33333333,13.14606742,5.15E-16,6.75E-12,3.95E-13,12,7,5,0.774414063,0.774414063
group_3940,,hypothetical protein,128,40,518,14,19.81424149,25.92592593,0.086486486,5.36E-16,7.03E-12,3.95E-13,23,7,18,0.010622025,0.093139648
group_2317,,hypothetical protein,179,45,467,9,27.70897833,16.66666667,0.076659529,6.32E-16,8.29E-12,3.95E-13,6,3,3,1,1
group_3955,,hypothetical protein,179,45,467,9,27.70897833,16.66666667,0.076659529,6.32E-16,8.29E-12,3.95E-13,6,3,3,1,1
group_2253,,hypothetical protein,467,9,179,45,72.29102167,83.33333333,13.04469274,6.32E-16,8.29E-12,3.95E-13,4,1,4,0.125,0.625
group_3889,,"[locus_tag=BQ2027_MB3382C] [db_xref=InterPro:IPR002560,UniProtKB/TrEMBL:A0A1R3Y3X9] [protein=PROBABLE TRANSPOSASE] [protein_id=SIU02011.1] [location=complement(3712238..3712978)][gbkey=CDS]",467,9,179,45,72.29102167,83.33333333,13.04469274,6.32E-16,8.29E-12,3.95E-13,4,1,4,0.125,0.625
group_3214,,hypothetical protein,180,45,466,9,27.86377709,16.66666667,0.077253219,7.76E-16,1.02E-11,4.62E-13,6,3,3,1,1
group_2319,,hypothetical protein,181,45,465,9,28.01857585,16.66666667,0.077849462,9.51E-16,1.25E-11,5.42E-13,6,3,3,1,1
group_2318,,hypothetical protein,182,45,464,9,28.17337461,16.66666667,0.078448276,1.16E-15,1.53E-11,6.36E-13,6,3,3,1,1
group_2316,,hypothetical protein,187,45,459,9,28.94736842,16.66666667,0.081481481,3.15E-15,4.13E-11,1.59E-12,7,3,4,1,1
group_1024,,hypothetical protein,187,45,459,9,28.94736842,16.66666667,0.081481481,3.15E-15,4.13E-11,1.59E-12,7,3,4,1,1
group_3954,,hypothetical protein,188,45,458,9,29.10216718,16.66666667,0.08209607,3.83E-15,5.02E-11,1.86E-12,7,3,4,1,1
group_260,,"[gene=PPE56a] [locus_tag=BQ2027_MB3385C] [db_xref=InterPro:IPR000030,InterPro:IPR002989,InterPro:IPR038332,UniProtKB/TrEMBL:A0A1R3Y3Y6][protein=PPE FAMILY PROTEIN [FIRST PART]] [protein_id=SIU02014.1] [location=complement(3723737..3725041)][gbkey=CDS]",177,44,469,10,27.39938081,18.51851852,0.085772437,4.11E-15,5.38E-11,1.92E-12,5,5,1,0.0625,0.375
group_2315,,hypothetical protein,194,45,452,9,30.03095975,16.66666667,0.085840708,1.21E-14,1.59E-10,5.30E-12,7,3,4,1,1
group_3953,,hypothetical protein,194,45,452,9,30.03095975,16.66666667,0.085840708,1.21E-14,1.59E-10,5.30E-12,7,3,4,1,1
group_1670,,hypothetical protein,183,44,463,10,28.32817337,18.51851852,0.089829177,1.34E-14,1.76E-10,5.68E-12,8,4,4,1,1
group_3213,,hypothetical protein,196,45,450,9,30.34055728,16.66666667,0.087111111,1.77E-14,2.32E-10,7.24E-12,7,3,4,1,1
group_1336,,hypothetical protein,460,10,186,44,71.20743034,81.48148148,10.88172043,2.40E-14,3.14E-10,9.52E-12,8,4,4,1,1
group_1335,,hypothetical protein,187,44,459,10,28.94736842,18.51851852,0.092592593,2.90E-14,3.80E-10,1.12E-11,8,4,4,1,1
group_280,,"[gene=PE_PGRS9] [locus_tag=BQ2027_MB0767] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3XW92][protein=pe-pgrs family protein pe_pgrs9] [protein_id=SIT99366.1][location=837525..839918] [gbkey=CDS]",203,45,443,9,31.42414861,16.66666667,0.091647856,6.40E-14,8.38E-10,2.40E-11,11,7,4,0.548828125,0.548828125
group_330,,[gene=PE_PGRS61] [locus_tag=BQ2027_MB3677] [db_xref=UniProtKB/TrEMBL:A0A1R3Y6C9] [protein=pe-pgrs family-related protein pe_pgrs61] [protein_id=SIU02305.1][location=4035589..4036302] [gbkey=CDS],229,47,417,7,35.44891641,12.96296296,0.081789887,7.03E-14,9.22E-10,2.56E-11,12,7,5,0.774414063,0.774414063
group_3242,,hypothetical protein,356,3,290,51,55.10835913,94.44444444,20.86896552,1.14E-13,1.49E-09,4.03E-11,9,6,3,0.5078125,0.5078125
group_3212,,hypothetical protein,195,44,451,10,30.18575851,18.51851852,0.098266479,1.28E-13,1.68E-09,4.42E-11,8,4,4,1,1
group_2099,,"[gene=cyp132] [locus_tag=BQ2027_MB1429C] [db_xref=GOA:P59954,InterPro:IPR001128,InterPro:IPR002401,InterPro:IPR017972,InterPro:IPR036396,UniProtKB/Swiss-Prot:P59954][protein=PROBABLE CYTOCHROME P450 132 CYP132][protein_id=SIU00032.1] [location=complement(1570672..1572057)][gbkey=CDS]",262,49,384,5,40.55727554,9.259259259,0.069621599,1.46E-13,1.91E-09,4.90E-11,8,4,5,0.7265625,1
group_202,,"[gene=PE_PGRS25] [locus_tag=BQ2027_MB1431C] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3XZ81][protein=pe-pgrs family protein pe_pgrs25] [protein_id=SIU00034.1][location=complement(1573215..1574573)][gbkey=CDS]",264,49,382,5,40.86687307,9.259259259,0.070520355,3.06E-13,4.01E-09,1.00E-10,8,4,5,0.7265625,1
group_3952,,hypothetical protein,200,44,446,10,30.95975232,18.51851852,0.101916021,3.15E-13,4.12E-09,1.01E-10,8,4,4,1,1
group_3231,,hypothetical protein,399,7,247,47,61.76470588,87.03703704,10.84615385,1.37E-12,1.80E-08,4.27E-10,10,4,6,0.75390625,0.75390625
group_239,,hypothetical protein,261,48,385,6,40.40247678,11.11111111,0.08474026,1.47E-12,1.93E-08,4.48E-10,7,4,3,1,1
group_4021,,hypothetical protein,371,5,275,49,57.43034056,90.74074074,13.22109091,1.66E-12,2.17E-08,4.94E-10,9,5,5,1,1
group_1199,,"[gene=leuA] [locus_tag=BQ2027_MB3737] [db_xref=GOA:Q7TVV6,InterPro:IPR000891,InterPro:IPR002034,InterPro:IPR005668,InterPro:IPR013709,InterPro:IPR013785,InterPro:IPR036230,InterPro:IPR039371,UniProtKB/Swiss-Prot:Q7TVV6][protein=2-isopropylmalate synthase leua (alpha-isopropylmalate synthase) (alpha-ipm synthetase) (ipms)][protein_id=SIU02366.1] [location=4095500..4097605] [gbkey=CDS]",410,8,236,46,63.46749226,85.18518519,9.98940678,2.19E-12,2.87E-08,6.37E-10,11,6,5,1,1
group_517,,hypothetical protein,297,50,349,4,45.9752322,7.407407407,0.068080229,2.87E-12,3.76E-08,8.18E-10,11,4,7,0.548828125,0.548828125
group_139,,"[gene=PE_PGRS28] [locus_tag=BQ2027_MB1487C] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3XYE4][protein=pe-pgrs family protein pe_pgrs28] [protein_id=SIU00090.1][location=complement(1636997..1639384)][gbkey=CDS]",192,42,454,12,29.72136223,22.22222222,0.120830711,4.25E-12,5.58E-08,1.19E-09,30,10,21,0.042773945,0.098737147
group_924,,hypothetical protein,363,5,283,49,56.19195046,90.74074074,12.57031802,6.92E-12,9.07E-08,1.89E-09,8,4,4,1,1
group_2100,,"[gene=cyp132] [locus_tag=BQ2027_MB1429C] [db_xref=GOA:P59954,InterPro:IPR001128,InterPro:IPR002401,InterPro:IPR017972,InterPro:IPR036396,UniProtKB/Swiss-Prot:P59954][protein=PROBABLE CYTOCHROME P450 132 CYP132][protein_id=SIU00032.1] [location=complement(1570672..1572057)][gbkey=CDS]",388,7,258,47,60.0619195,87.03703704,10.09745293,7.56E-12,9.92E-08,2.02E-09,13,9,6,0.266845703,1
group_921,,hypothetical protein,254,0,392,54,39.31888545,100,inf,9.48E-12,1.24E-07,2.49E-09,7,7,0,0.015625,0.015625
group_488,,[gene=PE_PGRS13] [locus_tag=BQ2027_MB0856] [db_xref=UniProtKB/TrEMBL:A0A1R3XWY6] [protein=pe-pgrs family protein pe_pgrs13] [protein_id=SIT99455.1][location=926191..928512] [gbkey=CDS],266,47,380,7,41.17647059,12.96296296,0.104255319,2.62E-11,3.44E-07,6.74E-09,10,7,3,0.34375,0.34375
group_365,,"[gene=PE_PGRS33] [locus_tag=BQ2027_MB1849C] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3XZD5][protein=pe-pgrs family protein pe_pgrs33] [protein_id=SIU00453.1][location=complement(2056042..2057547)][gbkey=CDS]",298,49,348,5,46.13003096,9.259259259,0.087379779,3.54E-11,4.64E-07,8.93E-09,7,3,4,1,1
group_1660,,"[gene=fadE18] [locus_tag=BQ2027_MB1968C] [db_xref=GOA:A0A1R3XZR1,InterPro:IPR009075,InterPro:IPR009100,InterPro:IPR013786,InterPro:IPR036250,InterPro:IPR037069,UniProtKB/TrEMBL:A0A1R3XZR1][protein=PROBABLE ACYL-COA DEHYDROGENASE FADE18] [protein_id=SIU00571.1] [location=complement(2179911..2181002)][gbkey=CDS]",402,54,244,0,62.22910217,0,0,5.03E-11,6.59E-07,1.13E-08,5,0,5,0.0625,0.0625
group_3167,,hypothetical protein,402,54,244,0,62.22910217,0,0,5.03E-11,6.59E-07,1.13E-08,5,0,5,0.0625,0.0625
group_3168,,"[locus_tag=BQ2027_MB1966C] [db_xref=GOA:A0A1R3XZS8,InterPro:IPR002818,InterPro:IPR009057,InterPro:IPR018060,InterPro:IPR029062,UniProtKB/TrEMBL:A0A1R3XZS8][protein=PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN][protein_id=SIU00569.1] [location=complement(2178505..2179284)][gbkey=CDS]",402,54,244,0,62.22910217,0,0,5.03E-11,6.59E-07,1.13E-08,5,0,5,0.0625,0.0625
group_3166,,"[gene=fadE17] [locus_tag=BQ2027_MB1969C] [db_xref=GOA:A0A1R3XZU2,InterPro:IPR006091,InterPro:IPR009075,InterPro:IPR009100,InterPro:IPR013786,InterPro:IPR036250,InterPro:IPR037069,UniProtKB/TrEMBL:A0A1R3XZU2][protein=PROBABLE ACYL-COA DEHYDROGENASE FADE17] [protein_id=SIU00572.1][location=complement(2181004..2182233)] [gbkey=CDS]",401,54,245,0,62.07430341,0,0,5.10E-11,6.69E-07,1.13E-08,5,0,5,0.0625,0.0625
group_3904,,hypothetical protein,401,54,245,0,62.07430341,0,0,5.10E-11,6.69E-07,1.13E-08,5,0,5,0.0625,0.0625
group_3905,,"[locus_tag=BQ2027_MB1963C] [db_xref=GOA:A0A1R3XZS7,InterPro:IPR002347,InterPro:IPR020904,InterPro:IPR036291,UniProtKB/TrEMBL:A0A1R3XZS7][protein=PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE] [protein_id=SIU00566.1][location=complement(2176495..2177262)] [gbkey=CDS]",401,54,245,0,62.07430341,0,0,5.10E-11,6.69E-07,1.13E-08,5,0,5,0.0625,0.0625
group_3903,,"[gene=tpx] [locus_tag=BQ2027_MB1967] [db_xref=GOA:P66953,InterPro:IPR002065,InterPro:IPR013740,InterPro:IPR013766,InterPro:IPR018219,InterPro:IPR036249,UniProtKB/Swiss-Prot:P66953][protein=PROBABLE THIOL PEROXIDASE TPX] [protein_id=SIU00570.1] [location=2179417..2179914][gbkey=CDS]",401,54,245,0,62.07430341,0,0,5.10E-11,6.69E-07,1.13E-08,5,0,5,0.0625,0.0625
group_763,,"[gene=pknH2] [locus_tag=BQ2027_MB1297CB] [db_xref=GOA:A0A1R3XXU5,InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR017441,UniProtKB/TrEMBL:A0A1R3XXU5][protein_id=SIT99900.1] [location=complement(1416665..1418431)][gbkey=CDS]",127,34,519,20,19.65944272,37.03703704,0.14394197,5.32E-11,6.97E-07,1.16E-08,34,16,19,0.607591361,0.86416624
group_2068,,"[gene=cinA] [locus_tag=BQ2027_MB1936] [db_xref=InterPro:IPR001453,InterPro:IPR008135,InterPro:IPR008136,InterPro:IPR036425,InterPro:IPR036653,UniProtKB/Swiss-Prot:P63776][protein=PROBABLE CINA-LIKE PROTEIN CINA] [protein_id=SIU00539.1] [location=2142352..2143644][gbkey=CDS]",49,23,597,31,7.585139319,57.40740741,0.110625592,5.92E-11,7.77E-07,1.25E-08,6,5,3,0.21875,1
group_1862,,"[gene=ompA] [locus_tag=BQ2027_MB0923] [db_xref=GOA:P65594,InterPro:IPR006664,InterPro:IPR006665,InterPro:IPR006690,InterPro:IPR007055,InterPro:IPR036737,UniProtKB/Swiss-Prot:P65594][protein=outer membrane protein a ompa] [protein_id=SIT99521.1] [location=1003277..1004257][gbkey=CDS]",49,23,597,31,7.585139319,57.40740741,0.110625592,5.92E-11,7.77E-07,1.25E-08,6,5,3,0.21875,1
group_3892,,hypothetical protein,397,9,249,45,61.45510836,83.33333333,7.97188755,1.42E-10,1.86E-06,2.96E-08,8,2,6,0.2890625,0.2890625
group_3882,,hypothetical protein,396,9,250,45,61.3003096,83.33333333,7.92,1.54E-10,2.02E-06,3.16E-08,9,1,8,0.0390625,0.0390625
group_915,,hypothetical protein,368,7,278,47,56.96594427,87.03703704,8.887975334,2.45E-10,3.21E-06,4.93E-08,9,4,5,1,1
group_131,,"[gene=PE_PGRS21] [locus_tag=BQ2027_MB1116] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3XXN8][protein=pe-pgrs family protein pe_pgrs21] [protein_id=SIT99715.1][location=1212948..1215272] [gbkey=CDS]",271,46,375,8,41.9504644,14.81481481,0.125681159,6.75E-10,8.84E-06,1.34E-07,8,7,2,0.0703125,0.2890625
group_121,,hypothetical protein,302,48,344,6,46.74922601,11.11111111,0.109738372,8.52E-10,1.12E-05,1.67E-07,9,6,4,0.5078125,1
group_1658,,"[gene=ribA1] [locus_tag=BQ2027_MB1975] [db_xref=GOA:A0A1R3XZS4,InterPro:IPR000422,InterPro:IPR017945,InterPro:IPR032677,InterPro:IPR036144,UniProtKB/TrEMBL:A0A1R3XZS4][protein=Probable Riboflavin biosynthesis protein ribA1 (GTP cyclohydrolase II)] [protein_id=SIU00578.1][location=2188650..2189711] [gbkey=CDS]",287,3,359,51,44.42724458,94.44444444,13.59052925,1.29E-09,1.69E-05,2.49E-07,10,7,3,0.34375,0.34375
group_1659,,"[gene=ribA1] [locus_tag=BQ2027_MB1975] [db_xref=GOA:A0A1R3XZS4,InterPro:IPR000422,InterPro:IPR017945,InterPro:IPR032677,InterPro:IPR036144,UniProtKB/TrEMBL:A0A1R3XZS4][protein=Probable Riboflavin biosynthesis protein ribA1 (GTP cyclohydrolase II)] [protein_id=SIU00578.1][location=2188650..2189711] [gbkey=CDS]",360,51,286,3,55.72755418,5.555555556,0.074043603,1.34E-09,1.76E-05,2.55E-07,10,3,7,0.34375,0.34375
group_3902,,"[gene=echA13] [locus_tag=BQ2027_MB1970C] [db_xref=GOA:A0A1R3XZR7,InterPro:IPR001753,InterPro:IPR029045,UniProtKB/TrEMBL:A0A1R3XZR7][protein=POSSIBLE ENOYL-COA HYDRATASE ECHA13 (ENOYL HYDRASE) (UNSATURATED ACYL-COA HYDRATASE) (CROTONASE)] [protein_id=SIU00573.1] [location=complement(2182248..2183204)][gbkey=CDS]",362,51,284,3,56.0371517,5.555555556,0.074979287,1.51E-09,1.98E-05,2.83E-07,9,3,6,0.5078125,0.5078125
group_2321,,hypothetical protein,281,46,365,8,43.49845201,14.81481481,0.13388922,2.23E-09,2.93E-05,4.12E-07,7,4,4,1,1
group_683,,hypothetical protein,328,49,318,5,50.77399381,9.259259259,0.105249647,2.29E-09,3.00E-05,4.16E-07,12,5,8,0.387695313,0.774414063
group_3971,,hypothetical protein,311,48,335,6,48.14241486,11.11111111,0.116044776,2.44E-09,3.20E-05,4.38E-07,11,6,5,1,1
group_1349,,"[gene=PPE27] [locus_tag=BQ2027_MB1818] [db_xref=InterPro:IPR000030,InterPro:IPR022171,InterPro:IPR038332,UniProtKB/TrEMBL:A0A1R3XZB1][protein=ppe family protein ppe27] [protein_id=SIU00422.1] [location=2023289..2024341][gbkey=CDS]",360,8,286,46,55.72755418,85.18518519,7.237762238,3.00E-09,3.93E-05,5.31E-07,7,4,4,1,1
group_158,,"[gene=PE_PGRS53] [locus_tag=BQ2027_MB3537] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3Y4D0][protein=pe-pgrs family protein pe_pgrs53] [protein_id=SIU02164.1][location=3876605..3880687] [gbkey=CDS]",247,43,399,11,38.23529412,20.37037037,0.158361019,3.79E-09,4.97E-05,6.63E-07,15,9,6,0.60723877,0.60723877
group_1238,,"[gene=PPE25] [locus_tag=BQ2027_MB1815] [db_xref=InterPro:IPR000030,InterPro:IPR022171,InterPro:IPR038332,UniProtKB/TrEMBL:A0A1R3XZC3][protein=ppe family protein ppe25] [protein_id=SIU00419.1] [location=2020168..2021262][gbkey=CDS]",368,9,278,45,56.96594427,83.33333333,6.618705036,6.90E-09,9.05E-05,1.19E-06,8,1,8,0.0078125,0.0703125
group_1567,,"[gene=plcD] [locus_tag=BQ2027_MB1784C] [db_xref=GOA:P0A5R9,InterPro:IPR006311,InterPro:IPR007312,InterPro:IPR017849,UniProtKB/Swiss-Prot:P0A5R9][protein=PROBABLE PHOSPHOLIPASE C 4 PLCD] [protein_id=SIU00387.1][location=complement(1976655..1978199)] [gbkey=CDS]",371,51,275,3,57.43034056,5.555555556,0.079358289,7.16E-09,9.39E-05,1.22E-06,12,3,9,0.145996094,0.145996094
group_3757,,tRNA-Ala(ggc),308,47,338,7,47.67801858,12.96296296,0.135716984,8.10E-09,0.000106228,1.36E-06,8,6,2,0.2890625,0.2890625
group_310,,hypothetical protein,288,4,358,50,44.58204334,92.59259259,10.05586592,1.08E-08,0.000142139,1.80E-06,9,5,4,1,1
group_1489,,"[gene=ansP1] [locus_tag=BQ2027_MB2151] [db_xref=GOA:Q7VEQ4,InterPro:IPR002293,InterPro:IPR004840,InterPro:IPR004841,UniProtKB/Swiss-Prot:Q7VEQ4][protein=l-asparagine permease ansp1] [protein_id=SIU00758.1][location=2373425..2374894] [gbkey=CDS]",360,50,286,4,55.72755418,7.407407407,0.100699301,1.18E-08,0.000154486,1.93E-06,9,4,5,1,1
group_434,,hypothetical protein,285,4,361,50,44.11764706,92.59259259,9.868421053,1.25E-08,0.000163931,2.02E-06,9,5,4,1,1
group_248,,"[gene=PPE56b] [locus_tag=BQ2027_MB3384C] [db_xref=InterPro:IPR002989,UniProtKB/TrEMBL:A0A1R3Y3Y3][protein=PPE FAMILY PROTEIN [SECOND PART]] [protein_id=SIU02013.1][location=complement(3717545..3723679)][gbkey=CDS]",304,5,342,49,47.05882353,90.74074074,8.711111111,1.40E-08,0.000182945,2.23E-06,7,5,2,0.453125,0.453125
group_3927,,hypothetical protein,480,19,166,35,74.30340557,64.81481481,5.326569436,1.44E-08,0.000189364,2.28E-06,40,26,18,0.080690468,0.635828003
group_188,,"[gene=PE_PGRS38] [locus_tag=BQ2027_MB2186C] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3Y2H6][protein=pe-pgrs family protein pe_pgrs38] [protein_id=SIU00794.1][location=complement(2408169..2409641)][gbkey=CDS]",327,48,319,6,50.61919505,11.11111111,0.128134796,1.66E-08,0.000217328,2.59E-06,9,6,3,0.5078125,0.5078125
group_445,,hypothetical protein,385,11,261,43,59.59752322,79.62962963,5.766283525,3.29E-08,0.00043101,5.07E-06,13,4,10,0.092285156,0.266845703
group_203,,"[gene=PE_PGRS25] [locus_tag=BQ2027_MB1431C] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3XZ81][protein=pe-pgrs family protein pe_pgrs25] [protein_id=SIU00034.1][location=complement(1573215..1574573)][gbkey=CDS]",215,1,431,53,33.28173375,98.14814815,26.43851508,4.08E-08,0.000534657,6.22E-06,8,8,1,0.0078125,0.0703125
group_799,,hypothetical protein,337,8,309,46,52.16718266,85.18518519,6.271035599,5.42E-08,0.000710315,8.16E-06,10,3,7,0.34375,0.34375
group_86,,"[gene=wag22a] [locus_tag=BQ2027_MB1790C] [db_xref=InterPro:IPR000084,UniProtKB/Swiss-Prot:P0A687][protein=PE-PGRS FAMILY PROTEIN WAG22A [FIRST PART]][protein_id=SIU00393.1] [location=complement(1987542..1987826)][gbkey=CDS]",253,3,393,51,39.16408669,94.44444444,10.94402036,7.65E-08,0.001003251,1.14E-05,17,17,3,1.53E-05,0.01272583
group_3932,,hypothetical protein,316,7,330,47,48.91640867,87.03703704,6.429437229,1.16E-07,0.001514634,1.70E-05,9,3,6,0.5078125,0.5078125
group_3808,,hypothetical protein,217,38,429,16,33.59133127,29.62962963,0.212980002,1.88E-07,0.002467633,2.74E-05,36,15,25,0.02881672,0.405032246
dinB,,"[gene=PE_PGRS38] [locus_tag=BQ2027_MB2186C] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3Y2H6][protein=pe-pgrs family protein pe_pgrs38] [protein_id=SIU00794.1][location=complement(2408169..2409641)][gbkey=CDS]",296,6,350,48,45.82043344,88.88888889,6.765714286,2.10E-07,0.002750154,3.02E-05,9,3,6,0.5078125,0.5078125
group_1922,,hypothetical protein,610,38,36,16,94.42724458,29.62962963,7.134502924,2.27E-07,0.002975263,3.23E-05,31,14,20,0.149612784,0.720100132
group_4061,,hypothetical protein,261,4,385,50,40.40247678,92.59259259,8.474025974,2.47E-07,0.003243427,3.49E-05,6,4,2,0.6875,0.6875
group_3227,,hypothetical protein,295,44,351,10,45.66563467,18.51851852,0.191012691,2.93E-07,0.00384597,4.09E-05,28,10,19,0.087158553,0.184933342
group_1923,,hypothetical protein,37,16,609,38,5.72755418,70.37037037,0.144293924,3.07E-07,0.004029374,4.24E-05,31,20,14,0.149612784,0.720100132
group_4794,,hypothetical protein,237,3,409,51,36.6873065,94.44444444,9.850855746,3.46E-07,0.004541588,4.73E-05,5,2,3,1,1
group_4643,,hypothetical protein,166,0,480,54,25.69659443,100,inf,3.68E-07,0.00482402,4.95E-05,4,4,0,0.125,0.125
group_1185,,"[locus_tag=BQ2027_MB2447C] [db_xref=GOA:A0A1R3Y171,InterPro:IPR003346,UniProtKB/TrEMBL:A0A1R3Y171][protein=PROBABLE TRANSPOSASE [SECOND PART]] [protein_id=SIU01062.1][location=complement(2693372..2694064)][gbkey=CDS]",444,18,202,36,68.73065015,66.66666667,4.396039604,3.70E-07,0.004847636,4.95E-05,36,25,13,0.02881672,0.132498164
group_4056,,hypothetical protein,164,0,482,54,25.3869969,100,inf,3.85E-07,0.005040926,5.04E-05,10,10,0,0.001953125,0.001953125
