Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75
SRX2526910.scaffold,166,55,36,36,32,26,4326583,4299056,4261077,4261077,4189872,3975688,72,392508,4311344,4349904,65.62,65.63,185496,185496,98672,98672,9,9,16,16,1,1,291369,9,0,2,0,0 + 0 part,0,99.096,1,61.07,4.55,2.06,392508,4311070,185496,185496,98672,85081,9,9,16,17
SRX2526911.scaffold,212,94,66,62,46,29,4312501,4257586,4197562,4170710,3890137,3237116,124,227655,4279001,4349904,65.41,65.63,93620,93620,50489,48579,14,14,29,30,12,11,276486,5,0,1,0,4 + 0 part,7464,98.035,1.002,11.38,13.27,2.13,227655,4268316,93620,92475,50489,48306,14,15,30,31
SRX2526912.scaffold,143,57,39,37,34,27,4324645,4300453,4265122,4251480,4203997,3951225,74,393280,4312524,4349904,65.61,65.63,184703,184703,98672,98672,9,9,17,17,1,1,117770,8,1,1,0,0 + 1 part,761,99.096,1,63.28,5.82,2.18,393280,4311435,184604,184604,85081,81351,9,9,17,18
SRX2526913.scaffold,140,54,34,33,31,27,4314885,4295724,4257743,4252527,4216479,4089381,64,313982,4303010,4349904,65.61,65.63,192722,192722,123229,123229,9,9,16,16,4,3,665991,9,0,2,0,0 + 0 part,0,98.906,1,56.45,13.32,3.37,313982,4301587,188348,188348,98741,87829,9,9,17,18
SRX2526914.scaffold,155,53,35,35,33,28,4325290,4299785,4262180,4262180,4226053,4056436,68,294406,4310773,4349904,65.61,65.63,183133,183133,106297,106297,10,10,17,17,2,2,474502,8,0,2,0,0 + 1 part,761,99.063,1,58.85,6.92,2.09,294406,4309675,182687,182687,98673,87708,10,10,18,19
SRX2526915.scaffold,152,55,36,35,33,28,4316006,4293141,4257260,4251957,4215909,4040419,67,314412,4301834,4349904,65.61,65.63,192722,192722,98740,98740,9,9,17,17,3,2,310109,8,0,4,0,0 + 0 part,0,98.87,1,67.76,13.21,3.51,314412,4300964,184970,184970,81214,81214,9,9,18,18
SRX2526916.scaffold,142,54,36,36,32,26,4326301,4304458,4266705,4266705,4194678,3980550,68,393162,4314640,4349904,65.62,65.63,184630,184630,98672,98672,9,9,16,16,2,2,475276,8,0,1,0,0 + 1 part,553,99.16,1,60.79,4.43,2.11,393162,4313921,184630,184630,87792,87650,9,9,17,18
SRX2526917.scaffold,152,55,36,36,33,27,4327225,4302225,4265244,4265244,4217758,4003574,70,296500,4313301,4349904,65.61,65.63,184713,184713,106297,106297,10,10,17,17,0,0,0,6,0,2,0,0 + 0 part,0,99.159,1,47.27,4.61,1.97,296500,4313044,184713,184713,106297,106297,10,10,17,17
SRX2526918.scaffold,145,53,34,34,32,28,4315779,4293523,4255161,4255161,4219113,4091929,64,393420,4301703,4349904,65.62,65.63,185698,185698,106296,98744,9,9,16,17,3,2,482915,9,0,3,0,0 + 0 part,0,98.868,1,58.53,12.95,3.58,393420,4300706,184647,184647,98744,87814,9,9,17,18
SRX2526919.scaffold,148,54,37,37,34,27,4326952,4303292,4269622,4269622,4221982,3976300,69,393027,4314334,4349904,65.62,65.63,182631,182631,98673,98673,9,9,17,17,0,0,0,4,0,5,0,0 + 0 part,0,99.14,1,58.97,4.36,1.92,392928,4313189,182631,182631,98673,98673,9,9,17,17
SRX2526920.scaffold,244,117,85,79,51,32,4295619,4238435,4155396,4106444,3658074,2943475,142,227655,4256567,4349904,65.35,65.63,75383,74708,43861,40677,19,20,38,40,13,9,407241,2,0,0,1,3 + 0 part,7013,97.524,1.002,0.23,13.08,2.19,227655,4244740,68915,68915,40292,39397,20,20,40,42
SRX2526921.scaffold,159,60,38,38,35,28,4316250,4292964,4249232,4249232,4201651,3955170,74,294628,4302990,4349904,65.61,65.63,182532,182532,98741,98741,10,10,18,18,4,4,680700,10,0,4,0,0 + 1 part,1772,98.844,1,52.31,9.56,2.86,294628,4300347,154364,149469,87919,87919,10,11,20,20
SRX2526922.scaffold,164,59,38,38,32,28,4315872,4291011,4252949,4252949,4147204,4012123,71,393155,4299739,4349904,65.61,65.63,192722,192722,85288,85288,9,9,17,17,3,2,256020,11,0,2,0,0 + 0 part,0,98.79,1.001,60.86,13.01,3.33,393155,4297467,185699,185699,85288,82305,9,9,17,18
SRX2526923.scaffold,152,52,35,35,32,27,4324639,4299616,4263039,4263039,4215474,4028193,67,392620,4310724,4349904,65.61,65.63,185496,185496,106297,98673,9,9,16,17,2,2,502864,7,1,1,0,0 + 0 part,0,99.096,1,56.26,4.22,1.97,392620,4310309,185132,185132,98673,87705,9,9,17,18
SRX2526924.scaffold,144,55,37,37,34,30,4313941,4292178,4258694,4258694,4198461,4071277,67,294399,4301181,4349904,65.61,65.63,183733,183733,87916,87916,10,10,18,18,3,2,376571,10,1,3,0,0 + 0 part,0,98.842,1,56.38,13.16,3.44,294399,4300233,149447,149447,87815,82161,10,10,19,20
SRX2526925.scaffold,147,54,36,36,34,29,4324641,4300885,4262134,4262134,4226001,4055934,68,294406,4311097,4349904,65.61,65.63,182631,182631,98673,98673,10,10,18,18,1,1,290577,7,0,2,0,0 + 0 part,0,99.109,1,58.55,5.87,2.13,294406,4310454,182631,182631,98673,87708,10,10,18,19
SRX2526926.scaffold,147,56,38,38,36,32,4313782,4290206,4255206,4255206,4219158,4091973,69,294399,4300183,4349904,65.61,65.63,177244,172795,85288,85288,10,11,19,19,3,2,376758,10,1,4,0,0 + 0 part,0,98.805,1.001,63.25,12.84,3.4,294399,4299134,149447,149447,81408,69003,11,11,20,21
SRX2526927.scaffold,116,57,39,38,29,25,4335254,4308977,4273602,4267958,4110165,3953333,74,393806,4320187,4349904,65.6,65.63,165111,165111,126798,123335,9,9,16,17,3,2,195432,9,0,1,0,8 + 1 part,6939,99.054,1.001,2.27,13.74,2.51,393806,4310845,163225,163225,123335,123335,9,9,17,17
SRX2526928.scaffold,151,55,36,36,33,27,4325593,4300932,4262305,4262305,4214740,4000611,71,294427,4312284,4349904,65.61,65.63,184813,184813,106296,106296,10,10,17,17,1,1,291370,6,0,3,0,0 + 1 part,2161,99.053,1,58.81,5.5,1.97,294427,4309531,184813,184813,106296,98661,10,10,17,18
SRX2526929.scaffold,142,59,38,38,35,28,4316462,4295660,4253057,4253057,4205040,3963182,73,294685,4305377,4349904,65.61,65.63,184814,184814,88038,88038,10,10,18,18,4,4,680671,9,0,1,0,0 + 1 part,956,98.932,1,54.28,9.83,2.88,294685,4303972,154415,154415,87823,87823,10,10,20,20
SRX2526930.scaffold,153,56,38,38,34,27,4326451,4302476,4266904,4266904,4195135,3953406,70,297086,4312606,4349904,65.62,65.63,183133,183133,98673,87708,10,10,17,18,1,1,183133,7,0,2,0,0 + 1 part,553,99.112,1,58.55,4.36,1.93,297086,4311719,182730,182730,87708,87708,10,10,18,18
SRX2526931.scaffold,145,53,36,35,32,26,4325635,4300923,4267395,4262092,4214606,4000654,70,393005,4313346,4349904,65.61,65.63,184813,184813,106297,106297,9,9,16,16,2,2,474178,9,0,1,0,0 + 1 part,761,99.127,1,61.34,4.92,2.16,393005,4312392,184813,184813,98673,87649,9,9,17,18
SRX2526932.scaffold,140,56,37,37,34,29,4315535,4294053,4259745,4259745,4199684,4024281,68,393572,4302845,4349904,65.61,65.63,184692,184692,85289,85289,9,9,18,18,2,1,192839,9,0,3,0,0 + 0 part,0,98.881,1,63.38,12.74,3.53,393472,4301990,172801,166930,85289,82162,9,10,18,19
SRX2526933.scaffold,141,54,36,36,34,29,4315908,4295546,4262120,4262120,4226005,4050233,64,393317,4303178,4349904,65.62,65.63,192722,192722,98741,98741,9,9,17,17,4,2,378364,8,0,2,0,0 + 1 part,2216,98.815,1.001,56.19,13.1,3.42,393317,4299222,171582,171582,87915,87915,9,9,18,18
SRX2526934.scaffold,162,58,40,40,37,30,4326966,4301657,4266552,4266552,4219283,3956740,73,294408,4312810,4349904,65.62,65.63,167139,167139,87815,87815,11,11,20,20,0,0,0,3,0,2,0,0 + 0 part,0,99.141,1,51.78,4.78,2.04,294408,4312554,167040,167040,87815,87815,11,11,20,20
SRX2526935.scaffold,148,53,34,34,32,27,4315048,4294168,4256503,4256503,4220381,4063530,64,393207,4301944,4349904,65.61,65.63,188245,188245,99244,99244,9,9,16,16,4,3,666460,10,0,1,0,0 + 0 part,0,98.889,1,53.95,13.09,3.51,393207,4300729,185707,185707,87916,87916,9,9,18,18
SRX2526936.scaffold,95,60,42,39,31,26,4316129,4299640,4266425,4244851,4097890,3894110,75,396822,4310620,4349904,65.59,65.63,162295,162295,104163,104163,9,9,17,17,6,5,373574,11,0,0,0,0 + 1 part,546,99.033,1.001,0,14.3,2.69,396822,4309075,157589,157589,98884,98884,9,9,18,18
SRX2526937.scaffold,138,50,35,34,31,25,4327837,4305576,4276018,4270715,4223151,4009035,64,393323,4315788,4349904,65.62,65.63,185495,185495,115407,115407,9,9,16,16,1,1,291369,5,0,0,0,0 + 0 part,0,99.195,1,63.14,4.43,2.04,393323,4315729,185495,185495,115407,115407,9,9,16,16
SRX2526938.scaffold,96,60,39,36,30,25,4313905,4299428,4256720,4234972,4123761,3901119,73,371234,4308373,4349904,65.59,65.63,193377,193377,102015,102015,9,9,16,16,3,2,385978,9,0,1,0,3 + 0 part,1619,98.924,1.001,6.89,14.34,2.74,371234,4304262,186619,186619,98884,98884,9,9,17,17
SRX2526939.scaffold,111,61,42,39,31,26,4317976,4294431,4257392,4235545,4086276,3887932,83,371211,4309584,4349904,65.59,65.63,162269,162269,110260,110260,10,10,17,17,4,3,219359,10,0,0,0,6 + 1 part,4242,98.894,1.001,0,13.55,2.51,371211,4304050,157596,157596,98884,98884,10,10,18,18
SRX2526940.scaffold,90,52,34,32,27,22,4325309,4309058,4274115,4259986,4158653,3964270,66,481551,4318940,4349904,65.61,65.63,211935,211935,126798,126798,8,8,14,14,4,3,318769,11,0,2,0,4 + 0 part,2092,99.128,1.001,6.83,14.82,2.53,481528,4314701,211935,211935,126798,123336,8,8,14,15
SRX2526941.scaffold,139,57,34,34,31,26,4321408,4300056,4253916,4253916,4206196,4035242,69,292533,4309372,4349904,65.61,65.63,193681,193681,123182,123182,9,9,16,16,5,5,1195865,11,1,2,0,0 + 0 part,0,99.027,1,63.3,14.32,3.39,281749,4308056,167590,167590,98738,85339,11,11,19,20
SRX2526942.scaffold,142,49,33,33,31,27,4316830,4292888,4262446,4262446,4226324,4099139,62,393371,4302862,4349904,65.61,65.63,192722,192722,123229,106299,9,9,15,16,3,2,376280,8,0,7,0,0 + 0 part,0,98.888,1,54.52,13.02,3.35,393272,4301578,185698,185698,98741,98741,9,9,17,17
SRX2526943.scaffold,151,56,36,36,33,29,4315703,4293148,4254529,4254529,4194392,4067208,68,294399,4302274,4349904,65.61,65.63,183077,183077,98741,87916,10,10,17,18,4,3,665991,9,0,4,0,0 + 0 part,0,98.862,1,65.69,13.25,3.44,294399,4300750,149448,149448,87814,82161,10,10,19,20
SRX2526944.scaffold,227,98,67,62,45,29,4314989,4255843,4190329,4157588,3870452,3234341,127,227655,4276410,4349904,65.42,65.63,98885,92989,50515,48725,14,15,29,30,9,8,353488,3,0,2,0,2 + 0 part,6150,98.044,1.001,9.31,13.32,2.3,227655,4268316,92989,92989,48725,48286,15,15,31,32
SRX2526945.scaffold,92,57,40,37,29,24,4317962,4301579,4269148,4247206,4093423,3887296,72,396887,4312949,4349904,65.6,65.63,205050,193376,110332,110332,8,9,16,16,5,4,667557,11,0,0,0,1 + 0 part,519,99.017,1.001,2.32,14.95,2.72,396887,4308725,157513,157513,101311,101311,9,9,17,17
SRX2526946.scaffold,160,58,37,37,34,28,4326802,4302800,4259316,4259316,4211365,3997181,72,294427,4312676,4349904,65.61,65.63,182578,172802,106297,106297,10,11,18,18,2,2,301557,8,0,2,0,0 + 1 part,553,99.124,1,56.16,5.96,2.02,294427,4311849,167150,167150,87650,87650,11,11,19,19
SRX2526947.scaffold,109,70,45,44,37,28,4311924,4295533,4246158,4237558,4107451,3741755,82,327275,4304664,4349904,65.57,65.63,162370,162370,70973,65442,10,10,20,21,4,3,519759,11,0,1,0,0 + 0 part,0,98.909,1.001,2.44,15.32,2.79,327275,4303096,133925,133925,65316,64237,11,11,22,23
SRX2526948.scaffold,143,54,37,36,32,27,4316396,4292392,4260956,4255653,4184689,4013411,68,393421,4302632,4349904,65.61,65.63,185707,185707,98740,87916,9,9,16,17,3,2,482914,10,0,1,0,0 + 1 part,1692,98.844,1,58.71,12.82,3.33,393421,4299441,184980,184980,87814,87814,9,9,18,18
SRX2526949.scaffold,146,55,37,37,32,27,4311433,4289507,4256315,4256315,4160800,3967891,66,393471,4297987,4349904,65.61,65.63,192722,192722,87942,87942,9,9,17,17,3,2,216098,12,1,3,0,0 + 1 part,1107,98.718,1.001,61.38,13.34,3.35,393372,4294679,185698,185698,87942,82161,9,9,17,18
SRX2526950.scaffold,256,55,36,36,33,27,4353189,4302178,4265918,4265918,4217538,4003354,70,296499,4312811,4349904,65.61,65.63,183991,183991,106297,106297,10,10,17,17,0,0,0,7,1,2,0,2 + 1 part,3947,99.024,1,56.83,4.57,1.93,296499,4308291,183892,183892,106297,106297,10,10,17,17
SRX2526951.scaffold,150,55,39,38,34,27,4326142,4301295,4269830,4264527,4192954,3948710,71,392992,4313219,4349904,65.62,65.63,182585,182585,87891,87891,9,9,17,17,1,1,290576,4,0,3,0,0 + 1 part,2216,99.075,1,54.16,4.59,1.95,392992,4310197,182585,182585,87815,87815,9,9,18,18
SRX2526952.scaffold,144,53,34,33,30,25,4326353,4304284,4268575,4263272,4215321,4028040,66,392606,4313721,4349904,65.62,65.63,193713,193713,123333,123333,9,9,15,15,3,3,686044,8,0,2,0,0 + 1 part,553,99.132,1,63.17,5.7,2.2,392606,4312771,185496,185496,106296,98673,9,9,16,17
SRX2526953.scaffold,162,54,37,37,34,28,4326125,4299878,4266350,4266350,4218399,4004233,69,392508,4310957,4349904,65.61,65.63,184713,184713,98673,87648,9,9,17,18,0,0,0,8,1,2,0,0 + 1 part,553,99.071,1,61.17,4.13,1.97,392508,4309958,184713,184713,98673,87648,9,9,17,18
SRX2526954.scaffold,181,54,37,37,34,28,4332637,4303431,4271215,4271215,4220132,4005949,68,392708,4313643,4349904,65.62,65.63,184895,184895,98673,87809,9,9,17,18,0,0,0,6,0,3,0,0 + 1 part,1750,99.079,1,62.85,5.34,2.11,392708,4311468,184895,184895,98673,87809,9,9,17,18
SRX2526955.scaffold,107,61,40,37,30,25,4318416,4297958,4259303,4239683,4113337,3907675,79,393904,4310509,4349904,65.58,65.63,193385,193385,101440,101440,9,9,16,16,3,2,326246,9,0,1,0,4 + 0 part,2152,98.968,1.001,4.62,13.45,2.53,393904,4306075,163188,163188,98889,98889,9,9,17,17
SRX2526956.scaffold,108,63,43,41,32,26,4309706,4288550,4248248,4233414,4078887,3810923,82,371164,4302451,4349904,65.57,65.63,162658,162658,98884,82643,10,10,17,18,5,3,621866,8,0,0,0,2 + 1 part,2088,98.787,1.001,0,13.75,2.58,371164,4297953,157709,157709,76217,70989,10,10,19,20
SRX2526957.scaffold,144,52,35,35,32,27,4316712,4296444,4263610,4263610,4215887,4042938,63,394293,4304593,4349904,65.61,65.63,211504,211504,98740,98740,8,8,16,16,2,1,192722,9,0,2,0,0 + 1 part,618,98.871,1.001,63.1,12.74,3.35,394194,4301642,211405,211405,98740,85288,8,8,16,17
SRX2526958.scaffold,179,53,36,36,33,27,4332849,4302658,4269453,4269453,4221429,4007300,69,392654,4314042,4349904,65.62,65.63,184813,184813,98673,98673,9,9,17,17,0,0,0,6,0,3,0,0 + 1 part,553,99.153,1,58.34,4.59,2.09,392654,4313194,184813,184813,98673,98673,9,9,17,17
SRX2526959.scaffold,90,55,39,36,32,25,4318396,4302817,4274482,4250820,4174472,3894187,68,371308,4312867,4349904,65.6,65.63,197452,197452,98884,98884,9,9,16,16,5,4,328547,11,0,2,0,0 + 0 part,0,99.061,1.001,6.96,13.95,2.76,371308,4311513,197074,197074,87883,87883,9,9,17,17
SRX2526960.scaffold,107,66,44,41,35,28,4313004,4294287,4252681,4233177,4122552,3846366,82,323222,4306212,4349904,65.57,65.63,161937,161937,94128,94128,10,10,19,19,5,4,512381,12,0,0,0,1 + 0 part,520,98.911,1.001,2.32,13.92,2.79,323222,4304577,131919,131919,74749,74749,11,11,21,21
SRX2526961.scaffold,143,53,35,34,32,27,4325810,4303103,4269211,4263908,4235270,4063693,67,392520,4313153,4349904,65.62,65.63,185496,185496,106296,104430,9,9,16,17,2,2,395006,8,0,2,0,0 + 0 part,0,99.133,1,54.51,5.89,2.62,392421,4312935,185496,185496,98673,98673,9,9,17,17
SRX2526962.scaffold,146,55,37,37,34,30,4315131,4292348,4258530,4258530,4198406,4071222,68,294399,4301896,4349904,65.61,65.63,183077,183077,87916,87916,10,10,18,18,3,2,375799,7,0,2,0,0 + 0 part,0,98.872,1,63.65,13.09,3.56,294399,4301147,149447,149447,87828,82211,10,10,19,20
SRX2526963.scaffold,99,63,42,40,34,29,4304000,4288544,4246147,4231384,4118525,3919011,76,327985,4298079,4349904,65.57,65.63,147469,147469,98884,98884,11,11,19,19,3,2,322429,10,0,0,0,0 + 0 part,0,98.744,1.001,6.89,14.64,2.65,327985,4296018,142298,142298,75713,75713,11,11,20,20
SRX2526964.scaffold,174,58,38,38,35,28,4331128,4302824,4265412,4265412,4217149,3972195,70,296355,4312152,4349904,65.62,65.63,182621,182621,98738,98738,10,10,18,18,2,2,426280,9,0,1,0,0 + 1 part,1107,99.098,1,62.92,14.8,3.64,296355,4310573,167183,167183,98738,82812,10,10,19,20
SRX2526965.scaffold,153,52,35,35,33,29,4315976,4292401,4257664,4257664,4221542,4094357,64,393469,4301429,4349904,65.61,65.63,185699,185699,98741,98741,9,9,17,17,2,1,193172,9,0,3,0,0 + 0 part,0,98.84,1,59.14,12.93,3.42,393469,4300351,185000,185000,98741,87915,9,9,17,18
SRX2526966.scaffold,104,64,42,40,31,26,4314360,4294812,4260461,4248105,4088896,3866060,82,396910,4307609,4349904,65.58,65.63,164291,162273,98884,98884,9,10,17,17,5,4,388063,10,0,0,0,4 + 1 part,3373,98.876,1.001,0,14.72,2.81,396910,4302562,157577,157577,81993,81993,10,10,18,18
SRX2526967.scaffold,100,59,40,37,31,26,4312512,4294512,4260054,4238608,4127760,3912335,76,322866,4305873,4349904,65.58,65.63,202671,193376,98884,98884,9,10,17,17,4,3,455009,10,0,0,0,4 + 1 part,3161,98.806,1.001,2.3,14.19,2.7,322866,4299239,202671,188453,98884,84416,9,10,17,18
SRX2526968.scaffold,156,59,40,40,36,28,4315571,4294471,4257677,4257677,4198776,3905284,71,294628,4303404,4349904,65.61,65.63,182581,182581,88038,88038,10,10,19,19,4,4,574144,9,0,1,0,0 + 0 part,0,98.895,1,61.3,9.32,2.86,294628,4302208,136925,136925,87817,87817,11,11,21,21
SRX2526969.scaffold,157,57,39,39,36,30,4328046,4304139,4269848,4269848,4222289,4008160,72,294722,4315289,4349904,65.62,65.63,167272,167272,91631,87891,10,10,19,20,0,0,0,3,0,4,0,0 + 0 part,0,99.183,1,65.63,4.77,1.99,294722,4314753,167272,167272,91577,87891,10,10,19,20
SRX2526970.scaffold,185,58,38,37,35,30,4322562,4291857,4252931,4243971,4207845,4036653,68,294299,4299556,4349904,65.61,65.63,172800,172800,98741,87942,10,10,18,19,3,2,374158,12,1,2,0,0 + 0 part,0,98.784,1.001,67.57,13.4,3.72,294299,4298331,143515,143515,87816,87816,11,11,20,20
SRX2526971.scaffold,148,54,35,35,32,28,4313758,4291820,4254130,4254130,4207726,4063360,66,393928,4300848,4349904,65.61,65.63,185698,185698,98740,98740,9,9,17,17,4,3,639899,11,1,3,0,0 + 0 part,0,98.836,1,52.41,12.79,3.3,393829,4299094,166566,166566,87913,87811,9,9,18,19
SRX2526972.scaffold,142,56,37,37,32,27,4315451,4294305,4257060,4257060,4168282,3997091,67,393259,4302540,4349904,65.61,65.63,185707,185707,98740,87916,9,9,16,17,3,2,482914,9,0,2,0,0 + 0 part,0,98.891,1,56.43,14.11,3.49,393159,4301615,167969,167969,87816,87816,9,9,18,18
SRX2526973.scaffold,151,52,36,36,33,27,4326971,4302952,4268528,4268528,4220978,4006862,67,294407,4313774,4349904,65.62,65.63,182631,182631,114752,106303,10,10,17,18,1,1,291369,5,0,2,0,0 + 0 part,0,99.169,1,56.68,6,2.06,294407,4313465,182631,182631,106303,106303,10,10,18,18
SRX2526974.scaffold,147,54,38,37,34,27,4324008,4299679,4267319,4262016,4214530,3952958,72,393069,4312462,4349904,65.61,65.63,184813,184813,87648,87648,9,9,17,17,1,1,291365,9,1,1,0,0 + 0 part,0,99.121,1,60.64,5.66,2.11,393069,4312026,184813,184813,85081,85081,9,9,18,18
SRX2526975.scaffold,103,65,42,39,33,28,4312289,4295563,4255812,4233605,4122571,3923623,78,325940,4305837,4349904,65.59,65.63,157526,157526,114568,98884,11,11,18,19,4,3,219948,13,0,0,0,0 + 1 part,1146,98.869,1.001,0.23,14.86,2.72,325940,4302996,151847,151847,98884,98884,11,11,19,19
SRX2526976.scaffold,252,102,76,72,50,32,4308578,4243929,4179604,4153176,3792503,3095418,126,227655,4260555,4349904,65.35,65.63,75407,75407,45036,44928,17,17,35,36,10,9,386341,2,0,0,0,4 + 0 part,7656,97.652,1.001,2.25,12.9,2.19,227655,4249079,75282,71916,43323,40342,17,18,36,38
SRX2526977.scaffold,143,54,36,36,33,27,4313608,4293286,4261030,4261030,4213358,3993774,65,394140,4301466,4349904,65.61,65.63,188120,188120,98741,98741,9,9,16,16,3,2,376385,11,1,5,0,0 + 0 part,0,98.845,1,61.26,13.05,3.42,394041,4299595,185707,185707,87816,87816,9,9,18,18
SRX2526978.scaffold,150,54,36,36,33,27,4323285,4301066,4266226,4266226,4218255,3999914,65,296355,4309809,4349904,65.61,65.63,182714,182714,106219,106219,10,10,17,17,3,3,543057,9,0,2,0,0 + 1 part,1051,99.056,1,56.31,14.41,3.57,296355,4308264,182466,182466,98738,98738,10,10,19,19
SRX2526979.scaffold,352,210,153,117,61,20,4307084,4264138,4118972,3864660,2937576,1438781,244,127172,4287860,4349904,65.55,65.63,37467,37467,19347,18931,37,37,75,77,12,12,339893,8,1,5,0,0 + 0 part,0,98.515,1.001,61.87,7.84,4.64,127172,4285927,37397,37397,19341,18898,38,38,76,79
SRX2526980.scaffold,110,57,38,36,29,25,4321858,4297286,4261391,4247944,4113666,3961704,74,371121,4309425,4349904,65.59,65.63,192396,192396,123338,123338,9,9,16,16,5,4,520564,11,0,0,0,4 + 1 part,3224,98.946,1.001,0,14.8,2.72,371121,4304833,179550,179550,123338,110279,9,9,16,17
SRX2526981.scaffold,151,59,40,40,37,32,4315782,4293805,4257760,4257760,4197621,4022131,70,294399,4301985,4349904,65.61,65.63,167213,167213,81808,81808,10,10,20,20,2,1,192722,11,0,1,0,0 + 0 part,0,98.861,1,63.69,12.72,3.44,294399,4301216,145086,145086,74993,74993,11,11,21,21
