Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
SRX2526910.scaffold	160	56	39	39	34	26	4323678	4297592	4263668	4263668	4165567	3866390	72	294563	4309296	4349904	65.61	65.63	184703	184703	84955	84955	10	10	17	17	3	3	527426	8	0	4	0	0 + 0 part	0	99.043	1.000	56.58	5.32	2.16	294563	4308354	184604	184604	81723	81723	10	10	19	19
SRX2526911.scaffold	210	96	66	63	46	30	4306528	4254688	4192808	4176026	3882940	3273234	123	227655	4274251	4349904	65.41	65.63	93047	93047	52344	50834	14	14	29	30	10	9	425291	5	0	0	0	4 + 0 part	7158	97.964	1.001	4.66	12.95	2.21	227655	4264100	92415	92415	50834	48295	15	15	31	32
SRX2526912.scaffold	161	60	40	39	37	29	4323394	4296964	4254580	4246241	4210193	3897362	75	294406	4307917	4349904	65.61	65.63	167051	167051	85081	85081	11	11	20	20	1	1	117667	6	1	2	0	0 + 1 part	761	99.019	1.000	58.73	6.92	2.14	294406	4306755	167051	167051	81351	81351	11	11	20	20
SRX2526913.scaffold	152	63	41	41	37	31	4313902	4292868	4252709	4252709	4181596	3962098	73	294399	4299765	4349904	65.61	65.63	167196	167196	81308	81308	10	10	20	20	4	3	372922	8	0	4	0	0 + 0 part	0	98.812	1.000	47.72	13.73	3.33	294399	4297932	145033	145033	74993	74993	11	11	21	21
SRX2526914.scaffold	160	57	40	38	35	28	4324876	4298910	4262123	4250451	4190323	3926477	73	294406	4310466	4349904	65.61	65.63	182687	182687	87708	87649	10	10	18	19	1	1	291369	6	0	2	0	0 + 1 part	761	99.082	1.000	54.24	5.38	1.95	294406	4309419	182687	167128	87649	87649	10	11	19	19
SRX2526915.scaffold	156	58	40	40	34	28	4313313	4290580	4256828	4256828	4143153	3941794	70	393521	4299273	4349904	65.61	65.63	167141	167141	82170	82170	9	9	18	18	3	2	239384	8	0	7	0	0 + 1 part	942	98.747	1.001	56.92	12.90	3.26	393421	4295438	165509	165509	82167	81308	9	9	18	19
SRX2526916.scaffold	163	62	39	39	34	28	4326525	4302994	4255955	4255955	4166427	3952299	76	294407	4312910	4349904	65.62	65.63	167268	167268	87648	87648	10	10	18	18	1	1	291353	7	0	2	0	0 + 0 part	0	99.109	1.000	54.05	5.43	2.09	294407	4311456	167268	167268	85660	85660	10	10	19	19
SRX2526917.scaffold	159	60	41	40	35	28	4327308	4301388	4264377	4258251	4169110	3906354	75	296500	4312464	4349904	65.61	65.63	167126	167126	85574	85574	10	10	19	19	0	0	0	6	0	4	0	0 + 0 part	0	99.107	1.000	49.83	4.50	1.97	296500	4310630	167026	167026	85574	85574	10	10	19	19
SRX2526918.scaffold	160	57	39	38	34	29	4315317	4290059	4255458	4250155	4172214	4018743	71	294456	4300180	4349904	65.61	65.63	167110	167110	87814	87814	10	10	18	18	4	3	589879	11	0	2	0	0 + 0 part	0	98.835	1.000	56.93	12.93	3.61	294456	4298791	166503	166503	81308	74974	10	10	19	20
SRX2526919.scaffold	159	61	43	43	38	29	4324533	4300625	4264446	4264446	4176818	3851000	76	294348	4311667	4349904	65.61	65.63	154431	154431	81408	81408	11	11	20	20	1	1	46922	2	0	3	0	0 + 1 part	761	99.063	1.000	43.14	4.78	1.97	294348	4308625	154431	154431	81408	81408	11	11	20	20
SRX2526920.scaffold	216	117	85	80	51	28	4280096	4234858	4150496	4108653	3624134	2785734	142	227655	4252741	4349904	65.34	65.63	75193	75193	40287	39333	18	18	38	39	11	7	393619	2	0	1	0	3 + 0 part	7013	97.491	1.001	2.33	12.83	2.24	227655	4242774	68866	68866	38265	35586	19	19	40	42
SRX2526921.scaffold	155	62	41	40	37	27	4313314	4290507	4250377	4242333	4194778	3826642	76	367310	4300767	4349904	65.61	65.63	184640	182532	87817	81576	9	10	18	19	4	4	680429	9	1	3	0	0 + 1 part	507	98.841	1.000	49.76	10.00	2.81	367310	4299643	144727	144727	81576	75807	10	10	20	21
SRX2526922.scaffold	159	56	36	36	33	28	4312461	4288130	4250096	4250096	4196248	4019070	69	294399	4297499	4349904	65.60	65.63	185699	185699	106140	106140	10	10	17	17	4	3	532898	10	1	4	0	0 + 0 part	0	98.706	1.001	56.94	14.21	3.52	294399	4293409	166564	166564	98741	85288	10	10	18	19
SRX2526923.scaffold	166	58	41	40	36	29	4323275	4295509	4261597	4256294	4178555	3912320	75	294352	4307772	4349904	65.60	65.63	167053	167053	82172	82172	10	10	19	19	1	1	290783	7	1	2	0	0 + 0 part	0	99.036	1.000	53.95	5.34	2.04	294352	4303996	166344	166344	81723	81723	11	11	20	20
SRX2526924.scaffold	155	62	42	40	36	30	4313099	4292008	4255061	4244521	4173537	3953794	73	294399	4300062	4349904	65.61	65.63	149347	143646	87815	87815	10	11	20	20	3	2	483262	11	1	1	0	0 + 1 part	645	98.797	1.000	56.60	13.29	3.42	294399	4296832	131504	131504	82161	82161	11	11	21	21
SRX2526925.scaffold	147	55	38	37	35	28	4323960	4299636	4266131	4258813	4222694	3956672	71	392394	4311650	4349904	65.61	65.63	184221	184221	87647	87647	9	9	18	18	2	2	297895	8	0	4	0	0 + 0 part	0	99.114	1.000	49.63	5.87	2.09	392394	4306160	182578	182578	87647	81351	10	10	18	19
SRX2526926.scaffold	154	58	41	41	36	28	4313072	4288540	4255213	4255213	4174322	3878141	72	294399	4299032	4349904	65.61	65.63	167501	167501	98741	87812	11	11	18	19	4	3	422951	9	1	4	0	0 + 0 part	0	98.755	1.001	56.83	12.73	3.28	294399	4296493	149447	149447	81408	81408	11	11	20	20
SRX2526927.scaffold	116	60	41	39	30	24	4330368	4304984	4269431	4255102	4088826	3858849	76	394397	4316148	4349904	65.60	65.63	190917	190917	112960	112960	9	9	16	16	4	3	384664	9	0	0	0	5 + 0 part	2874	99.072	1.001	0.00	13.83	2.58	394397	4310599	163225	163225	107597	98884	9	9	17	18
SRX2526928.scaffold	162	61	39	38	35	28	4324520	4299969	4255313	4250155	4202239	3939533	76	294352	4310372	4349904	65.61	65.63	182631	182631	98661	97981	10	10	18	19	1	1	294333	4	0	2	0	0 + 0 part	0	99.069	1.000	49.51	5.92	2.00	294352	4309595	182631	166638	97981	97981	10	11	19	19
SRX2526929.scaffold	153	59	39	37	34	27	4315687	4294923	4256417	4243382	4189490	3947911	73	393150	4304640	4349904	65.61	65.63	185487	185487	88038	88038	9	9	17	17	4	4	680396	8	0	1	0	0 + 1 part	553	98.923	1.000	43.00	9.32	2.79	393150	4302640	165623	165623	87823	87823	9	9	19	19
SRX2526930.scaffold	162	60	42	42	38	30	4326163	4301989	4266417	4266417	4200859	3889836	74	294331	4312119	4349904	65.61	65.63	166362	166362	81351	75645	11	11	20	21	0	0	0	5	0	2	0	0 + 0 part	0	99.105	1.000	49.58	4.15	1.99	294331	4310598	165213	165213	81351	75645	11	11	20	21
SRX2526931.scaffold	150	56	37	37	34	28	4323082	4299949	4260180	4260180	4200127	4000268	69	392396	4309281	4349904	65.61	65.63	183133	183133	87649	87649	9	9	17	17	1	1	183133	10	0	3	0	0 + 1 part	761	99.051	1.000	49.75	7.61	2.37	392396	4307463	182633	182633	85574	85574	9	9	18	18
SRX2526932.scaffold	156	63	42	42	38	29	4313464	4290002	4251966	4251966	4187795	3863733	77	393359	4300555	4349904	65.61	65.63	166996	166996	74993	69003	10	10	19	20	2	1	192839	9	1	1	0	0 + 0 part	0	98.798	1.001	56.53	13.17	3.58	393359	4297625	143501	143501	69003	68027	10	10	20	21
SRX2526933.scaffold	151	57	40	40	35	27	4313211	4290704	4257888	4257888	4168699	3882822	70	393217	4300681	4349904	65.61	65.63	192722	192722	82155	81614	9	9	17	18	5	3	485327	11	1	2	0	0 + 0 part	0	98.820	1.000	53.78	13.07	3.33	393118	4298557	171582	171582	69003	69003	9	9	19	19
SRX2526934.scaffold	174	64	44	43	41	30	4325795	4298755	4259258	4252848	4216800	3812989	79	294249	4309769	4349904	65.61	65.63	154485	154485	69003	69003	11	11	21	21	2	2	42738	4	0	4	0	0 + 0 part	0	99.040	1.000	45.41	4.67	1.95	294249	4307762	154485	154485	69003	69003	11	11	21	21
SRX2526935.scaffold	174	61	41	39	35	28	4315194	4291603	4252814	4241069	4163229	3922703	71	294399	4298834	4349904	65.61	65.63	166969	166969	87916	87814	10	10	18	19	3	2	483031	10	0	3	0	0 + 1 part	602	98.793	1.000	45.18	12.98	3.26	294399	4296120	149347	149347	82160	82160	10	10	20	20
SRX2526936.scaffold	100	65	45	42	33	24	4314272	4297672	4263041	4241613	4075452	3713403	82	394578	4309822	4349904	65.58	65.63	190918	190918	98884	98884	9	9	17	17	6	5	435695	10	0	0	0	0 + 0 part	0	99.003	1.001	6.87	13.00	2.62	394578	4308349	157589	138157	74830	74830	9	10	19	19
SRX2526937.scaffold	133	50	35	34	31	25	4326954	4304782	4276690	4271387	4224496	4010380	65	392811	4315607	4349904	65.62	65.63	185495	185495	115273	115273	9	9	16	16	1	1	291369	4	0	2	0	0 + 0 part	0	99.199	1.000	56.61	5.33	2.04	392811	4315311	185495	185495	115176	115176	9	9	16	16
SRX2526938.scaffold	99	63	40	37	31	24	4312512	4296295	4250378	4228811	4117641	3842622	79	371234	4307867	4349904	65.59	65.63	193377	193377	102015	102015	9	9	16	16	6	5	411967	12	0	1	0	0 + 0 part	0	98.911	1.001	6.80	15.13	2.65	371234	4305658	166959	166959	98884	98884	9	9	17	17
SRX2526939.scaffold	103	62	42	39	31	26	4314547	4295330	4257213	4235824	4086638	3885968	79	371211	4307519	4349904	65.58	65.63	162343	162343	110260	110260	10	10	17	17	4	3	221659	14	0	1	0	4 + 1 part	3199	98.855	1.001	2.32	13.37	2.44	371211	4302482	157596	157596	98884	98884	10	10	18	18
SRX2526940.scaffold	88	52	34	33	27	22	4322704	4308143	4272927	4267278	4157028	3966030	63	481532	4316456	4349904	65.60	65.63	204991	204991	129765	129765	8	8	14	14	4	3	382449	8	0	1	0	1 + 1 part	2213	99.107	1.001	4.54	14.45	2.69	481528	4312245	204991	204991	123276	123276	8	8	15	15
SRX2526941.scaffold	156	63	39	38	35	28	4321429	4298416	4250339	4242295	4194228	3948191	77	292533	4309220	4349904	65.61	65.63	185497	185497	98738	98738	10	10	18	18	3	3	721882	9	1	2	0	0 + 0 part	0	99.043	1.000	54.49	14.30	3.46	240710	4307856	167183	167183	82812	82812	11	11	20	20
SRX2526942.scaffold	166	56	40	39	35	29	4316086	4289204	4258693	4253540	4182590	3960128	69	294299	4299178	4349904	65.61	65.63	185698	185698	87942	82173	10	10	18	19	3	2	239411	7	0	4	0	0 + 1 part	604	98.777	1.000	47.47	14.73	3.28	294299	4295883	166907	166907	82167	82167	10	10	19	19
SRX2526943.scaffold	159	59	39	39	35	29	4314308	4290381	4252524	4252524	4174721	3961315	73	294381	4300600	4349904	65.61	65.63	167038	167038	87814	87814	10	10	19	19	4	3	668954	8	0	2	0	0 + 0 part	0	98.837	1.000	56.69	13.30	3.44	294381	4298719	131388	131388	82161	82161	11	11	21	21
SRX2526944.scaffold	220	97	69	64	46	29	4308420	4252218	4191829	4157565	3855632	3186698	126	227655	4272960	4349904	65.41	65.63	98885	92989	48713	48404	14	15	30	31	11	10	547449	4	0	1	0	2 + 0 part	6150	97.938	1.002	9.15	12.96	2.18	227655	4264247	92989	82426	48286	47622	15	16	32	33
SRX2526945.scaffold	98	59	41	38	30	25	4316601	4298961	4266489	4244547	4090137	3884300	75	371284	4310818	4349904	65.59	65.63	193325	193325	110296	101449	9	9	16	17	6	5	907382	16	0	0	0	1 + 0 part	519	98.984	1.001	2.32	14.56	2.65	371284	4308115	157514	157514	98884	98884	9	9	18	18
SRX2526946.scaffold	157	58	40	39	37	29	4326236	4301823	4266834	4261531	4225415	3928807	72	294427	4311696	4349904	65.61	65.63	167150	167150	87708	87708	11	11	19	19	2	2	300901	9	0	4	0	0 + 1 part	1172	99.074	1.000	52.18	5.73	2.00	294427	4309935	154496	154496	81408	75036	11	11	20	21
SRX2526947.scaffold	103	71	46	45	37	28	4308882	4294551	4244084	4235484	4090012	3707620	84	256811	4304092	4349904	65.57	65.63	149398	149398	76077	76077	12	12	21	21	4	3	515028	13	0	0	0	0 + 0 part	0	98.895	1.001	2.28	15.27	2.72	256788	4302529	133925	133589	70099	70099	12	13	23	23
SRX2526948.scaffold	150	60	42	42	36	30	4313245	4289466	4255932	4255932	4154384	3947449	73	294299	4299187	4349904	65.61	65.63	167049	167049	82159	81708	10	10	19	20	2	1	192722	10	1	4	0	0 + 0 part	0	98.783	1.001	52.03	12.71	3.23	294299	4296770	165752	149294	81708	74993	10	11	20	21
SRX2526949.scaffold	157	56	39	39	34	29	4309417	4286132	4253889	4253889	4159053	3963589	67	393419	4294612	4349904	65.61	65.63	192722	192722	81214	81214	9	9	18	18	4	3	262760	8	1	4	0	0 + 0 part	0	98.682	1.000	52.74	12.84	3.21	393320	4292345	185698	185698	81214	69003	9	9	18	19
SRX2526950.scaffold	249	58	40	40	37	29	4345371	4297959	4262897	4262897	4215536	3904553	74	294352	4309294	4349904	65.61	65.63	182483	182483	87708	87708	10	10	19	19	1	1	247782	8	0	3	0	1 + 0 part	606	99.023	1.000	45.55	5.41	1.97	294352	4307820	166445	166445	81308	81308	11	11	20	20
SRX2526951.scaffold	164	61	44	44	39	30	4324814	4299098	4263928	4263928	4182240	3838829	77	294348	4310339	4349904	65.61	65.63	149290	149290	81723	81723	11	11	21	21	1	1	290576	4	0	4	0	0 + 0 part	0	99.069	1.000	52.08	5.01	2.04	294348	4308540	144168	144168	69003	69003	12	12	22	22
SRX2526952.scaffold	156	59	38	38	34	28	4323127	4299634	4259658	4259658	4193964	3958084	72	294209	4309071	4349904	65.61	65.63	182630	182630	106296	98673	10	10	18	19	2	2	312150	7	1	2	0	0 + 0 part	0	99.060	1.000	49.57	6.52	2.11	294209	4308474	172800	167194	87708	87708	10	11	19	19
SRX2526953.scaffold	158	59	41	41	36	30	4325324	4300752	4265798	4265798	4183990	3969824	73	266193	4311056	4349904	65.61	65.63	157425	157425	87708	87708	11	11	20	20	0	0	0	6	1	4	0	0 + 0 part	0	99.052	1.001	51.91	5.22	1.86	266193	4309170	157425	157425	87708	87708	11	11	20	20
SRX2526954.scaffold	171	60	41	40	35	28	4325830	4298281	4261341	4256038	4181425	3917095	76	294463	4309772	4349904	65.61	65.63	166883	166883	87681	87681	10	10	19	19	1	1	290576	6	0	2	0	0 + 0 part	0	99.058	1.000	42.81	5.62	2.02	294463	4308262	165703	165703	87681	87650	11	11	19	20
SRX2526955.scaffold	111	64	43	40	31	26	4316750	4295397	4258782	4239134	4074191	3868638	81	393749	4308263	4349904	65.57	65.63	163951	163951	101440	98889	9	9	17	18	4	2	326261	9	0	1	0	3 + 0 part	1602	98.928	1.001	2.32	13.50	2.49	393749	4304576	142953	142953	98889	98889	10	10	18	18
SRX2526956.scaffold	114	71	46	45	36	27	4302622	4281760	4238261	4233183	4072181	3694441	91	371164	4295948	4349904	65.55	65.63	157766	157766	70938	70938	10	10	20	20	7	6	498678	7	0	0	0	2 + 1 part	2088	98.643	1.001	2.28	13.03	2.52	371164	4292035	134465	134465	64237	63111	11	11	21	22
SRX2526957.scaffold	158	58	39	38	35	29	4314678	4292160	4255220	4245713	4185984	3962556	69	294399	4300639	4349904	65.61	65.63	185642	185642	85225	82161	10	10	18	19	5	4	594249	8	0	3	0	0 + 1 part	802	98.785	1.001	59.22	12.80	3.10	294399	4297420	167003	167003	82161	82161	10	10	19	19
SRX2526958.scaffold	172	58	40	40	36	29	4327866	4298272	4262548	4262548	4197925	3935511	76	294327	4311342	4349904	65.61	65.63	166798	166798	87708	87708	11	11	19	19	0	0	0	6	0	2	0	0 + 0 part	0	99.099	1.000	45.11	5.57	1.95	294327	4309818	165621	165621	87708	87708	11	11	19	19
SRX2526959.scaffold	92	58	39	36	31	24	4316709	4302495	4265923	4242681	4148425	3868150	70	371251	4311555	4349904	65.60	65.63	197205	197205	126798	98884	9	9	15	16	5	4	515181	8	0	0	0	0 + 0 part	0	99.028	1.001	2.25	14.88	2.88	371251	4308963	197067	197067	87883	87883	9	9	17	17
SRX2526960.scaffold	109	68	44	41	35	28	4310531	4291915	4242289	4221607	4111034	3834789	85	323144	4304095	4349904	65.56	65.63	161777	161777	87514	76572	10	10	19	20	5	4	507320	12	0	0	0	0 + 0 part	0	98.860	1.001	6.92	14.21	2.98	322902	4302865	131919	131919	70973	70018	11	11	21	22
SRX2526961.scaffold	158	58	40	39	36	29	4325174	4300232	4266359	4261072	4213805	3950017	73	294132	4310931	4349904	65.61	65.63	182461	182461	85514	85514	10	10	19	19	0	0	0	7	0	2	0	0 + 0 part	0	99.124	1.000	49.99	4.94	2.32	293886	4310469	182461	182461	85514	85514	10	10	19	19
SRX2526962.scaffold	148	59	41	41	36	29	4313351	4291758	4257700	4257700	4168971	3928568	71	294399	4300624	4349904	65.61	65.63	167290	167290	82162	82162	10	10	19	19	4	3	355314	8	0	1	0	0 + 0 part	0	98.845	1.000	61.01	13.00	3.33	294399	4299179	149447	149447	82162	81408	10	10	19	20
SRX2526963.scaffold	106	69	47	44	36	29	4300735	4286346	4238821	4218797	4069841	3783063	79	322600	4293806	4349904	65.55	65.63	142298	142298	76062	70986	11	11	20	21	5	4	222195	12	0	1	0	0 + 0 part	0	98.641	1.001	6.94	14.66	2.54	322600	4292343	137316	137316	70986	68218	11	11	21	22
SRX2526964.scaffold	178	66	41	39	35	27	4326010	4298575	4252896	4238176	4161398	3870472	79	292433	4308756	4349904	65.61	65.63	182618	182618	82226	82226	10	10	18	18	3	3	786907	10	0	1	0	0 + 0 part	0	99.012	1.000	47.53	14.67	3.44	242442	4306825	163732	163732	82226	81778	11	11	20	21
SRX2526965.scaffold	155	57	39	39	36	30	4314629	4290625	4256504	4256504	4196377	3988045	69	294399	4299653	4349904	65.61	65.63	172801	172801	87915	87915	10	10	19	19	3	2	313071	9	0	4	0	0 + 0 part	0	98.781	1.001	50.24	13.59	3.23	294399	4297112	149447	134237	81614	81614	10	11	20	20
SRX2526966.scaffold	102	65	42	40	31	26	4307946	4290619	4251979	4239211	4083964	3865668	82	394471	4302769	4349904	65.58	65.63	164291	164291	98884	98884	9	9	17	17	4	3	386644	10	0	0	0	0 + 1 part	1197	98.829	1.001	0.00	14.56	2.68	394471	4300218	157577	157577	81993	81993	10	10	18	18
SRX2526967.scaffold	98	61	41	38	32	27	4310197	4294463	4256304	4234864	4123912	3908499	76	322754	4304680	4349904	65.58	65.63	188439	188439	98884	84416	10	10	17	18	5	4	620039	12	0	0	0	3 + 1 part	2651	98.832	1.001	4.55	14.05	2.77	322754	4300408	163951	163951	84416	75941	10	10	18	19
SRX2526968.scaffold	153	61	43	42	38	27	4313021	4292395	4257390	4249346	4191833	3769287	75	296191	4302489	4349904	65.61	65.63	154618	154618	85411	81352	10	10	19	20	4	4	573687	6	0	2	0	0 + 1 part	1716	98.828	1.000	47.09	9.44	2.88	296191	4299036	134429	134429	81352	75798	11	11	21	22
SRX2526969.scaffold	170	67	46	45	39	31	4325931	4301524	4260157	4254854	4153990	3861654	82	294722	4312338	4349904	65.62	65.63	136630	136630	81408	69003	11	11	21	22	0	0	0	3	0	1	0	0 + 0 part	0	99.109	1.000	45.43	4.96	1.99	294722	4310441	136630	136630	81408	69003	11	11	21	22
SRX2526970.scaffold	190	61	41	40	36	30	4316915	4285486	4246569	4239542	4161766	3941891	73	294299	4294762	4349904	65.60	65.63	166507	166507	87816	82161	11	11	19	20	3	2	374158	7	1	1	0	0 + 0 part	0	98.679	1.001	52.11	12.79	3.31	294299	4291774	143510	143510	81408	81408	11	11	21	21
SRX2526971.scaffold	163	60	42	41	36	29	4312314	4288883	4254740	4249437	4161271	3901084	73	294399	4298456	4349904	65.61	65.63	167041	167041	82160	82160	10	10	19	19	4	3	530049	12	1	2	0	0 + 0 part	0	98.775	1.000	40.53	12.57	3.24	294399	4295440	143503	143503	81308	69003	11	11	20	21
SRX2526972.scaffold	156	60	41	41	36	28	4314315	4291092	4254465	4254465	4166260	3876892	72	295813	4300168	4349904	65.61	65.63	167969	167969	87812	82159	10	10	18	19	3	2	193618	9	0	2	0	0 + 0 part	0	98.853	1.000	45.37	14.12	3.51	295813	4299382	166903	166903	82159	81214	10	10	19	20
SRX2526973.scaffold	160	57	41	40	35	28	4325303	4300798	4269921	4264618	4187735	3925047	72	294407	4311314	4349904	65.61	65.63	152927	152927	106244	98673	11	11	19	20	1	1	291369	3	1	4	0	0 + 0 part	0	99.083	1.000	54.55	5.08	2.00	294407	4309570	152827	152827	98673	98673	11	11	20	20
SRX2526974.scaffold	155	56	39	38	35	28	4322820	4298766	4263947	4256629	4209143	3947571	72	294110	4310133	4349904	65.61	65.63	182638	182638	87648	87648	10	10	18	18	2	2	301428	9	1	0	0	0 + 0 part	0	99.084	1.000	49.56	8.07	2.34	293908	4309744	182638	182638	85081	85081	10	10	19	19
SRX2526975.scaffold	107	63	42	39	33	28	4311018	4290565	4249876	4227896	4116878	3917966	81	323534	4304124	4349904	65.58	65.63	157526	157526	114568	98884	11	11	18	19	5	4	222460	14	0	0	0	0 + 0 part	0	98.839	1.001	2.46	14.12	2.65	323534	4301999	151847	151847	98884	98884	11	11	19	19
SRX2526976.scaffold	220	100	77	74	52	32	4290958	4238705	4178850	4157628	3811503	3047901	124	242503	4255507	4349904	65.34	65.63	75407	72647	47729	44928	17	18	35	37	11	10	424193	2	0	0	0	4 + 0 part	7403	97.541	1.001	6.89	12.82	2.22	242503	4244338	72561	71915	43161	40271	18	19	37	39
SRX2526977.scaffold	155	60	42	42	37	29	4315122	4292935	4259486	4259486	4170699	3883029	71	393006	4301115	4349904	65.61	65.63	185707	185707	81623	81623	9	9	19	19	2	1	192839	10	0	6	0	0 + 0 part	0	98.832	1.000	52.34	13.56	3.35	392906	4298391	167019	145037	69003	69003	9	10	20	20
SRX2526978.scaffold	154	60	40	37	35	28	4319326	4297966	4257262	4236682	4200571	3935920	71	292433	4306455	4349904	65.61	65.63	167122	167122	106219	98738	10	10	18	19	4	4	903158	10	0	0	0	0 + 0 part	0	99.002	1.000	45.33	15.74	3.60	240862	4305318	134390	134390	87936	82812	12	12	21	22
SRX2526979.scaffold	690	448	270	141	36	2	4272840	4184655	3681723	2777966	1223386	137912	520	70572	4234923	4349904	65.43	65.63	14117	13725	7428	6909	85	90	188	200	11	11	190625	9	1	6	0	0 + 1 part	2774	97.206	1.001	72.89	11.47	7.73	67330	4230537	14057	13725	7219	6819	88	92	192	205
SRX2526980.scaffold	103	60	42	40	31	25	4315145	4295940	4261778	4248928	4079446	3849545	71	370896	4304170	4349904	65.58	65.63	186187	166915	110276	110276	9	10	17	17	6	5	409629	13	0	0	0	1 + 3 part	6579	98.734	1.001	2.32	14.83	2.65	370896	4296023	157500	157500	98884	98884	10	10	18	18
